Nominative,Genitive,Gender,Declension,EnglishMeanings
patria,patriae,f,I,"fatherland, native country"
paupertās,paupertātis,f,III,"poverty, poorness"
pāvō,pāvōnis,u,III,peafowl
pāx,pācis,f,III,peace
pectus,pectoris,n,III,"chest, breast"
pecūnia,pecūniae,f,I,money
pedes,peditis,u,III,"foot-soldier, infantry"
pellis,pellis,f,III-i,"pelt, hide, fur"
penna,pennae,f,I,"feather, pen"
pēs,pedis,m,III,foot
philosophia,philosophiae,f,I,philosophy
philosophus,philosophī,u,II,philosopher
pictūra,pictūrae,f,I,"picture, painting"
pīlum,pīlī,n,II,javelin
pinguitia,pinguitiae,f,III,plumpness
pīnus,pīnūs,f,IV,pine tree
pīrāta,pīrātae,u,I,pirate
piscīna,piscīnae,f,I,"pool, fish pond"
piscis,piscis,u,III-i,fish
plētiō,plētiōnis,f,III,act of filling
pluvia,pluviae,f,I,rain
poena,poenae,f,I,punishment
poēta,poētae,u,I,poet
politicus,politicī,u,II,politician
pollex,pollicis,m,III,thumb
pōns,pontis,m,III-i,bridge
pontifex,pontificis,u,III,"priest, bridge-maker"
populus,populī,m,II,"people, nation"
porca,porcae,f,I,sow
porcus,porcī,m,II,hog
porta,portae,f,I,gate
portātiō,portātiōnis,f,III,act of carrying
potentia,potentiae,f,I,"power, ability"
potestās,potestātis,f,III,"power, authority"
praemium,praemiī,n,II,reward
prandium,prandiī,n,II,lunch
prex,precis,f,III,prayer
prīnceps,prīncipis,u,III,"chief, prince, emperor"
proelium,proeliī,n,II,battle
profunditās,profunditātis,f,III,"profundity, depth"
prōgeniēs,prōgeniēī,f,V-long,"offspring, descendants"
prōgenitor,prōgenitōris,m,III,"progenitor, ancestor (m.)"
prōgenitrīx,prōgenitrīcis,f,III,"progenitor, ancestor (f.)"
prohibitiō,prohibitiōnis,f,III,"prohibition, act of preventing"
propinquitās,propinquitātis,f,III,nearness
prōscrīptiō,prōscrīptiōnis,f,III,"proscription, act of banning"
prōvincia,prōvinciae,d,I,province
psittacus,psittacī,u,II,parrot
pūblicitās,pūblicitātis,f,III,"publicity, publicness"
puella,puellae,f,I,girl
puer,puerī,m,II,boy
pugna,pugnae,f,I,fight
pugnācitās,pugnācitātis,f,III,"pugnacity, inclination to fight"
pulchritūdō,pulchritūdinis,f,III,"pulchritude, beauty"
pulmõ,pulmōnis,m,III,lung
pulsiō,pulsiōnis,f,III,act of pushing or driving
pūnitiō,pūnitiōnis,f,III,act of punishing
pūritās,pūritātis,f,III,"purity, cleanliness"
putātiō,putātiōnis,f,III,act of thinking or considering
quadrātus,quadrātī,m,II,square
quaestiō,quaestiōnis,f,III,"question, act of seeking"
quercus,quercūs,f,IV,oak tree
questus,questūs,m,IV,complaint
quiēs,quiētis,f,III,"quiet, rest"
rabiēs,rabiēī,f,V-long,madness
radīx,radīcis,f,III,root
rana,ranae,u,I,frog
rapiditās,rapiditātis,f,III,"rapidity, speed"
raptor,raptōris,u,III,one who seizes
rāritās,rāritātis,f,III,rarity
ratiō,ratiōnis,f,III,"plan, theory, reasoning"
rattus,rattī,u,II,rat
rēgīna,rēgīnae,f,I,queen
regiō,regiōnis,f,III,region
rena,renae,f,I,kidney
requiēs,requiēī,f,V-long,rest
rēs,reī,f,V-short,"thing, matter, affair"
responsor,responsōris,u,III,one who responds
responsum,responsī,n,II,response
rēx,rēgis,m,III,king
rīsiō,rīsiōnis,f,III,act of laughing or mocking
rīsor,rīsōris,u,III,one who laughs
rīsus,rīsūs,m,IV,laughter
rogātiō,rogātiōnis,f,III,act of asking
rogātor,rogātōris,u,III,one who asks
rōsa,rōsae,f,I,rose
rotunditās,rotunditātis,f,III,"rotundity, roundness"
rubēdō,rubēdinis,f,III,redness
rūs,rūris,n,III,"rural area, countryside"
sacerdōs,sacerdōtis,u,III,priest
sagitta,sagittae,f,I,arrow
saltātiō,saltātiōnis,f,III,act of leaping
saltātor,saltātōris,u,III,leaper
salūbritās,salūbritātis,f,III,healthfulness
salūs,salūtis,f,III,health
salūtātiō,salūtātiōnis,f,III,"salutation, act of greeting"
salūtātor,salūtātōris,u,III,one who greets
sānctitās,sānctitātis,f,III,"sanctity, holiness"
sanguis,sanguinis,m,III,blood
sānitās,sānitātis,f,III,"health, wholeness"
sapientia,sapientiae,f,I,wisdom
sapor,sapōris,m,III,flavor
saxum,saxī,n,II,rock
scelus,sceleris,n,III,"misdeed, wickedness"
scientia,scientiae,f,I,knowledge
scorpiō,scorpiōnis,u,III,scorpion
scrība,scrībae,u,I,"clerk, writer"
scrīptūra,scrīptūrae,f,I,"scripture, writing"
